Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,479494,-,-,-,39.73,-105.18,-7,1876,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2020,1,1,0,30,0,0,0,-3.2,5.9
2020,1,1,1,30,0,0,0,-2.9000000000000004,6.2
2020,1,1,2,30,0,0,0,-2.7,6.5
2020,1,1,3,30,0,0,0,-2.5,6.5
2020,1,1,4,30,0,0,0,-2.3000000000000003,6.1000000000000005
2020,1,1,5,30,0,0,0,-1.8,5.800000000000001
2020,1,1,6,30,0,0,0,-1.2000000000000002,5.4
2020,1,1,7,30,5,0,5,-0.4,5.2
2020,1,1,8,30,128,328,71,0.8,5.300000000000001
2020,1,1,9,30,254,504,100,2.5,5.4
2020,1,1,10,30,99,1,99,4.1000000000000005,5.4
2020,1,1,11,30,118,1,118,5.300000000000001,5.5
2020,1,1,12,30,126,1,126,5.800000000000001,5.300000000000001
2020,1,1,13,30,308,488,108,5,4.800000000000001
2020,1,1,14,30,303,666,89,3.5,4.3
2020,1,1,15,30,182,764,35,2,4.1000000000000005
2020,1,1,16,30,29,322,17,0.8,4
2020,1,1,17,30,0,0,0,0,3.9000000000000004
2020,1,1,18,30,0,0,0,-0.9,3.6
2020,1,1,19,30,0,0,0,-1.6,3.5
2020,1,1,20,30,0,0,0,-1.9000000000000001,3.7
2020,1,1,21,30,0,0,0,-2.2,4.1000000000000005
2020,1,1,22,30,0,0,0,-2.6,4.3
2020,1,1,23,30,0,0,0,-3,4.3
2020,1,2,0,30,0,0,0,-3.4000000000000004,4
2020,1,2,1,30,0,0,0,-3.7,3.6
2020,1,2,2,30,0,0,0,-4.1000000000000005,2.9000000000000004
2020,1,2,3,30,0,0,0,-4.5,2.4000000000000004
2020,1,2,4,30,0,0,0,-4.9,2
2020,1,2,5,30,0,0,0,-5.2,1.9000000000000001
2020,1,2,6,30,0,0,0,-5.300000000000001,2
2020,1,2,7,30,8,1,8,-4.3,2.4000000000000004
2020,1,2,8,30,134,354,73,-2,2.9000000000000004
2020,1,2,9,30,314,900,39,0.30000000000000004,3
2020,1,2,10,30,432,962,47,1.8,3
2020,1,2,11,30,497,984,52,2.6,2.9000000000000004
2020,1,2,12,30,502,985,53,3,2.7
2020,1,2,13,30,447,960,52,2.9000000000000004,2.5
2020,1,2,14,30,337,900,46,2,1.8
2020,1,2,15,30,186,765,36,0,1
2020,1,2,16,30,29,302,17,-1.8,0.8
2020,1,2,17,30,0,0,0,-2.6,1.2000000000000002
2020,1,2,18,30,0,0,0,-3.4000000000000004,1.5
2020,1,2,19,30,0,0,0,-4.2,1.6
2020,1,2,20,30,0,0,0,-4.800000000000001,1.7000000000000002
2020,1,2,21,30,0,0,0,-5.4,1.8
2020,1,2,22,30,0,0,0,-5.800000000000001,2
2020,1,2,23,30,0,0,0,-6.1000000000000005,2.1
2020,1,3,0,30,0,0,0,-6.6000000000000005,2.3000000000000003
2020,1,3,1,30,0,0,0,-6.9,2.5
2020,1,3,2,30,0,0,0,-7.1000000000000005,2.6
2020,1,3,3,30,0,0,0,-7.300000000000001,2.6
2020,1,3,4,30,0,0,0,-7.5,2.6
2020,1,3,5,30,0,0,0,-7.6000000000000005,2.7
2020,1,3,6,30,0,0,0,-7.4,2.9000000000000004
2020,1,3,7,30,13,182,10,-5.9,3.6
2020,1,3,8,30,156,738,29,-3.1,4.7
2020,1,3,9,30,290,721,70,-0.4,5.4
2020,1,3,10,30,414,877,62,1.9000000000000001,5.800000000000001
2020,1,3,11,30,488,979,44,3.2,6
2020,1,3,12,30,492,978,45,3.7,6.1000000000000005
2020,1,3,13,30,439,951,46,3.7,5.9
2020,1,3,14,30,334,889,45,3,5.1000000000000005
2020,1,3,15,30,185,758,35,1.3,4.1000000000000005
2020,1,3,16,30,31,315,18,-0.4,3.7
2020,1,3,17,30,0,0,0,-1.1,3.7
2020,1,3,18,30,0,0,0,-1.4000000000000001,3.9000000000000004
2020,1,3,19,30,0,0,0,-1.6,3.9000000000000004
2020,1,3,20,30,0,0,0,-1.8,3.7
2020,1,3,21,30,0,0,0,-2,3.5
2020,1,3,22,30,0,0,0,-2.3000000000000003,3.4000000000000004
2020,1,3,23,30,0,0,0,-2.4000000000000004,3.5
2020,1,4,0,30,0,0,0,-2.4000000000000004,3.7
2020,1,4,1,30,0,0,0,-2.4000000000000004,3.8000000000000003
2020,1,4,2,30,0,0,0,-2.1,3.9000000000000004
2020,1,4,3,30,0,0,0,-1.8,4.1000000000000005
2020,1,4,4,30,0,0,0,-1.5,4
2020,1,4,5,30,0,0,0,-1.4000000000000001,3.9000000000000004
2020,1,4,6,30,0,0,0,-1.2000000000000002,3.8000000000000003
2020,1,4,7,30,7,0,7,0.2,3.8000000000000003
2020,1,4,8,30,131,322,75,2.9000000000000004,3.8000000000000003
2020,1,4,9,30,248,402,125,5.5,3.6
2020,1,4,10,30,379,658,114,7.800000000000001,3
2020,1,4,11,30,348,286,218,9.700000000000001,2.4000000000000004
2020,1,4,12,30,432,611,151,10.700000000000001,2
2020,1,4,13,30,404,720,105,10.200000000000001,1.5
2020,1,4,14,30,294,551,114,8.3,1.2000000000000002
2020,1,4,15,30,187,754,36,5.800000000000001,1.5
2020,1,4,16,30,26,110,21,3.6,2.3000000000000003
2020,1,4,17,30,0,0,0,2.1,3.2
2020,1,4,18,30,0,0,0,1.3,4
2020,1,4,19,30,0,0,0,0.9,4.6000000000000005
2020,1,4,20,30,0,0,0,0.5,5
2020,1,4,21,30,0,0,0,0.2,5.2
2020,1,4,22,30,0,0,0,0,5.2
2020,1,4,23,30,0,0,0,-0.30000000000000004,4.800000000000001
2020,1,5,0,30,0,0,0,-0.8,4.2
2020,1,5,1,30,0,0,0,-1.4000000000000001,3.5
2020,1,5,2,30,0,0,0,-2.1,2.6
2020,1,5,3,30,0,0,0,-2.9000000000000004,1.6
2020,1,5,4,30,0,0,0,-3.7,0.8
2020,1,5,5,30,0,0,0,-4.5,0.5
2020,1,5,6,30,0,0,0,-4.9,0.9
2020,1,5,7,30,14,187,11,-4.1000000000000005,1.7000000000000002
2020,1,5,8,30,163,762,31,-2.1,2.3000000000000003
2020,1,5,9,30,316,882,45,0.5,2.8000000000000003
2020,1,5,10,30,390,677,117,2.8000000000000003,3.6
2020,1,5,11,30,503,1002,46,4.5,4.1000000000000005
2020,1,5,12,30,507,998,47,5.6000000000000005,4.3
2020,1,5,13,30,449,949,52,5.9,3.9000000000000004
2020,1,5,14,30,344,916,42,4.7,3.1
2020,1,5,15,30,194,782,35,2,2.2
2020,1,5,16,30,36,369,18,-0.6000000000000001,1.7000000000000002
2020,1,5,17,30,0,0,0,-1.8,1.6
2020,1,5,18,30,0,0,0,-2.2,1.8
2020,1,5,19,30,0,0,0,-2.3000000000000003,2
2020,1,5,20,30,0,0,0,-2.3000000000000003,2.3000000000000003
2020,1,5,21,30,0,0,0,-2.2,2.8000000000000003
2020,1,5,22,30,0,0,0,-2.2,3.2
2020,1,5,23,30,0,0,0,-2.6,3.4000000000000004
2020,1,6,0,30,0,0,0,-3.3000000000000003,3.6
2020,1,6,1,30,0,0,0,-4,3.8000000000000003
2020,1,6,2,30,0,0,0,-4.5,4.2
2020,1,6,3,30,0,0,0,-5,4.4
2020,1,6,4,30,0,0,0,-5.5,4.2
2020,1,6,5,30,0,0,0,-5.9,3.6
2020,1,6,6,30,0,0,0,-6.1000000000000005,3.3000000000000003
2020,1,6,7,30,7,0,7,-5,3.9000000000000004
2020,1,6,8,30,106,148,80,-3,5.5
2020,1,6,9,30,325,924,41,-1.7000000000000002,7.2
2020,1,6,10,30,447,989,47,-1,7.800000000000001
2020,1,6,11,30,491,877,90,-0.5,7.800000000000001
2020,1,6,12,30,521,1020,49,-0.1,7.6000000000000005
2020,1,6,13,30,464,997,45,0,7.2
2020,1,6,14,30,350,932,40,-0.30000000000000004,6.4
2020,1,6,15,30,198,812,31,-1.7000000000000002,4.9
2020,1,6,16,30,38,393,18,-3.3000000000000003,3.8000000000000003
2020,1,6,17,30,0,0,0,-4,3.7
2020,1,6,18,30,0,0,0,-4.1000000000000005,3.9000000000000004
2020,1,6,19,30,0,0,0,-4.1000000000000005,4.1000000000000005
2020,1,6,20,30,0,0,0,-4,4.2
2020,1,6,21,30,0,0,0,-3.9000000000000004,4.4
